,0
1275,1992  Daphne  Glazer
1276,give  someone  fit
1277,in  fits
1278,in  by  fits  and  starts
1279,take  five
1280,fix  someone's wagon
1281, Truman  Capote
1282,get  fix
1283,fly  the  flag  Q
1284,keep  the  flag  flying
1285,put  the  flags  or  flag  out
1286,show  the  flag
1287,wrap  yourself  in the  flag
1288,flash  in the pan
1289,quick  as a  flash
1290,fall  flat
1291,fall  flat  on  your  face  ©fall
1292, the  flat  ©on
1293,flatter  to deceive
1294,flavour  of the month
1295,flex  your  muscles
1296,flexible  friend
1297, full  flight
1298,flip  your  lid
1299,do a moonlight  flit:
1300,float  someone's boat
1301,flog  a dead horse
1302, in  full  flood  Qof
1303,cross  the  floor:
1304,from  the floor
1305,take  the floor
1306,flotsam  and  jetsam
1307,go with the  flow
1308, full  flow
1309, flower  of
1310, the  first  flush
1311,flutter  the dovecotes
1312,flutter  your  eyelashes
1313,die  drop  like  flies
1314,drink  with the  flies
1315,fly  the coop
1316,fly  high
1317,a  fly in  amber
1318,fly  in the  face  of
1319,a  fly in the ointment
1320,fly  a  kite
1321,fly  the nest
1322,fly  off the  handle
1323,a  fly on the  wall
1324,a  fly  on the wheel
1325,like  a  blue-arsed  fly
1326,on  the fly
1327,there  are no  flies  on
1328,wouldn't  hurt
1329, harm  a fly
1330,take  a  flyer
1331,with  flying  colours
1332,be  in  like  Flynn
1333,foam  at  the  mouth:
1334, froth  at  the  mouth
1335,in  a fog
1336,follow  in  someone's  footsteps:
1337,follow  your  nose
1338,follow  suit  Qin
1339,be  no
1340,fool's  gold
1341,more  fool
1342,there's  no fool  like  an old fool
1343,dig  in  your  feet:
1344, dig in  your  heels
1345,drag  your  feet:
1346,fall  on  your  feet:
1347,foot  the  bill:
1348,get  your  feet wet
1349,have  feet of  clay
1350,have  a  foot  in  both  camps
1351,have  one foot in the  grave
1352,have  something at  your  feet
1353,keep  your  feet:
1354,put  your  best foot  forward
1355,put  your  foot down
1356,put  your  foot in it
1357,put  a foot  wrong
1358,think  on  your  feet:
1359,vote  with  your  feet:
1360,footloose  and  fancy-free
1361,play  footsie with someone
1362,be  for it
1363,there's  that's
1364,forbidden  fruit
1365,force  the issue
1366,force  the  pace
1367,touch  tug  your  forelock
1368,with  forked  tongue
1369,a  forlorn  hope
1370,the  fortunes  of  war
1371,a  small  fortune
1372,forty  winks
1373,foul  your  own nest
1374,founding  father
1375,on  all  fours  with
1376,the  fourth  estate
1377,crazy  like  a fox:
1378, in  out of the  frame  Qbe
1379,Frankenstein's  monster
1380,free  and easy
1381,"free,  gratis,  and for  nothing"
1382,free  rein:
1383, a  free  country
1384,make  free  with
1385,freeze  the  balls  off  brass  monkey:
1386,freeze  your  blood
1387,excuse  pardon  my  French
1388, Angela  Lambert
1389,take  French  leave
1390, fresh  out of something
1391,break  fresh  ground:
1392, breath  of  fresh
1393,fresh  as a  daisy:
1394,fresh  blood:
1395, fair-weather  friend
1396,flexible  friend:
1397, friend  at  court
1398,friends  in high  places
1399,look  a  fright
1400,frighten  the  daylights  out of:
1401,the  the
1402,be all fur  and
1403,blow  the  gaff
1404, gaiety  of  nations
1405, your  your  own  gait
1406,play  to the  gallery
1407, game  is up
1408,game  on
1409,game  over
1410,give  the  game  away
1411, only  game  in town
1412,play  games
1413,2000  Gayle
1414,play  someone's game
1415,play  the game
1416,1993  Andy  McNab
1417,run  the gamut
1418,go  gangbusters
1419,"garbage  in,  garbage  out"
1420,lead  someone up the garden path
1421,1961  Wodehouse
1422,run  out
1423,step  on the gas
1424,blow  a gasket Q
1425,your  the  last  gasp
1426,1996  Hutton
1427,between  you and me and the  gatepost:
1428,between  you and me and the bedpost
1429,run  the  gauntlet
1430,change  gear
1431,give  someone the  gears
1432,1989  Vanderhaeghe
1433,let  the  genie  out  of
1434,the  bottle
1435,a  gentleman's  agreement
1436,1991  Charles  Anderson
1437,the  genuine  article
1438,let  George  do  it
1439,as  as all get out
1440,1990  M.  Scott  Peck
1441,be  out to get someone
1442,"don't  get mad, get even"
1443,get  your  own  back
1444,the  ghost  in  the  machine
1445,the  ghost  walks
1446,give  up the ghost Q
1447,look  as if you have seen a ghost
1448,the  gift of the gab
1449,in  the gift of
1450,look  a gift  horse  in the mouth
1451,gild  the  lily
1452,take  the gilt off the  gingerbread
1453,ginger  group
1454,gird  up  your  loins
1455,give  and  take  Q
1456,give  to someone
1457,give  me
1458,give  or  take
1459,stick  in  your  gizzard
1460,give  someone the  glad  hand
1461, your  glad  rags
1462, that  glitters  is not gold
1463, to  glory
1464, your  glory
1465, like  a glove
1466, gloves  off
1467, with  the gloves off
1468,take  the gloves off
1469,a  glutton for  punishment
1470,gnash  your  teeth
1471,gnomes  of  Zurich
1472,be  all go
1473,from  go to whoa
1474,from  the  word  go
1475,1997  O'Connor
1476,go  figure
1477,go  great  guns:
1478,go  halves
1479,have  a go  O
1480,have  a go at
1481,make  a go of
1482,1987  Smith
1483,on  the go
1484,score  an own goal Qin
1485,01991  Brian
1486,God's  own gift to
1487,God  willing
1488,little  tin god
1489,play  God
1490,anything  goes
1491, goes  there?
1492,"going,  going, gone!"
1493,going  on  —
1494, going  on  for
1495,have  going  for  you
1496,while  the going  good
1497, crock  of gold
1498,like  gold dust
1499, golden  calf
1500, golden  handshake
1501, good  news:
1502, in good  company:
1503, Barbara  Kingsolver
1504,good  Samaritan:
1505, someone's good  books:
1506,make  good
1507,all  someone's geese are  swans
1508,turn  geese into  swans
1509,cast  the gorge at
1510,your  gorge  rises
1511,the  gory  details
1512,1988  David
1513,gospel  truth
1514,out  of  your  gourd  Q
1515,up  for  grabs
1516,fall  from  grace  O
1517,with  good
1518, bad  grace
1519,make  the  grade
1520,against  the  grain
1521,a  grain  of  mustard  seed
1522,a  the  man
1523,grease  the  wheels
1524,greasy  spoon
1525,the  great  and the good
1526,great  and  small
1527,a  great  one for
1528,it's  all  Greek  to  me
1529,green  light
1530,green  with  envy
1531,a  grey  area
1532,come  to  grief
1533,give  someone  grief
1534,merry  lively  as a  grig
1535,like  for  grim  death
1536,the  Grim  Reaper
1537,grin  and  bear  it
1538,keep  your  nose to the  grindstone
1539,come  get to  grips  with  Q
1540,get  a  grip
1541,grist  to the  mill
1542,true  grit
1543,Grody  to the max
1544,in  into  the groove
1545,1988  Jay  Mclnerney
1546,stick  in  your  gullet:
1547,up  a gum tree
1548,a  big gun:
1549,go  great  guns
1550,stick  to  your  guns
1551,top  gun
1552,under  the gun
1553,with  all guns blazing
1554,your  guts  out
1555,2000  Anthony  Bourdain
1556,hate  someone's guts
1557,have  someone's guts for  garters
1558,come  a gutser
1559,give  someone gyp
1560,make  someone's  hackles  rise
1561,half  the  battle:
1562,keep  your  hair
1563, your  hair  down
1564,make  someone's  hair  stand  on end
1565,have  a mind to do  something:
1566,neither  hide nor  hair  of:
1567,how the other  half  lives:
1568, turn  a  hair
1569,not do  things  by  halves
1570, hair  hairs  on  your  chest
1571,not  half  Q
1572, by  half
1573, halfway  house  O
1574,Hamlet  without  the  prince
1575,something  home
1576,hammer  and tongs
1577,take  a  hammering  ©be
1578, keep  your  hand  in
1579,give  lend a  hand
1580,hand  in glove
1581,from  hand  to mouth
1582, Lynne  Reid
1583,hands  down
1584,hands  off!
1585,have  your  hand  in the  till:
1586,fingers  in the  till
1587,make  lose
1588,put  your  hands  together
1589,put  your  hands  up
1590,hand's  doing
1591,take  a  hand  in
1592,turn  your  hand  to  something
1593,1994  Barbara
1594,wait  on someone  hand  and foot
1595,handsome  is as  handsome  does
1596,get  the  hang  of  something
1597,hang  a  thread:
1598,hang  fire
1599,hang  someone out to  dry
1600,hang  tough
1601,hang  up  your  boots
1602,hang  your  hat
1603,let  it  all  hang  out
1604,a  hanging  offence
1605,happy  as a  sandboy
1606,happy  hunting  ground
1607,be  hard  put to
1608,hard  as  nails  Q
1609,hard  as the  nether  millstone
1610,a  hard  case  Q
1611,a  hard  nut to  crack
1612,a  hard  row to hoe:
1613,the  hard  way
1614,play  hard  to get
1615,put  the  hard  word  on
1616,take  your  off  to
1617,under  the hatches
1618,do a  hatchet  job on
1619,have  had it Q
1620,have  it  away  on  your  toes
1621,have  it  away
1622,have  got it  for
1623,have  got it in you to do something
1624,have  it out with someone
1625,play  havoc with
1626,watch  someone like a  hawk
1627,make  hay
1628,make  hay of
1629,bite  snap someone's head off
1630, your  head down Q
1631,give  someone  their  head
1632,go to  your  head Q
1633,head  shoulders  above
1634,head  over  heels
1635,"heads  win,  tails  you lose"
1636,heads  will  roll
1637,keep  lose  your  head
1638,keep  your  head above  water
1639,keep  your  head  down
1640, Edward  Toman
1641,make  head or  tail  of
1642,need  your  head examined
1643, out of  your  head
1644, the top of  your  head
1645, Jamaica  Kincaid
1646,over  your  head
1647, your  heads together
1648, something  into  someone's head
1649,turn  heads
1650,with  your  head in the  clouds:
1651, your  head off
1652,hit  the  headlines
1653,be  unable  to  hear  yourself  think
1654,after  your  own  heart
1655,have  the  heart
1656,have  put  your  heart  in
1657,have  your  heart  in  your  mouth
1658,have  your  heart  in the  right  place
1659,heart  and  soul
1660,heart  of gold
1661,heart  of oak
1662,heart  of stone
1663,heart  to  heart
1664,hearts  and  minds
1665,my  heart  bleeds for  you:
1666,take  something  to  heart
1667,to  your  heart's  content:
1668,wear  your  heart  on  your  sleeve
1669,your  heart's  desire
1670,your  heart  sinks  into  your  boots:
1671,a  heartbeat  away  from
1672,hearth  and home
1673,1984  Studs  Terkel
1674,a  heck of a
1675,"statements or  exclamations,"
1676,drag  your heels:
1677, drag your  feet
1678,take to your heels  legs run
1679,1990  Julian  Fane
1680,"there was chaos or  uproar,"
1681,1995  Ian  Rankin
1682,for  the hell of  it
1683, from  hell
1684,get  the hell out of
1685,give  someone  or  get hell
1686,go to hell in a  handbasket
1687,hell  for  leather
1688,a  one hell of a
1689,not  a hope
1690, chance  in hell
1691,play  merry  hell with
1692,raise  hell
1693,there  will  be hell to pay
1694,a  golden  hello:
1695, a golden  handshake
1696,so  help me God
1697,rare  scarce  as hen's teeth
1698,her  indoors
1699,ride  herd  on:
1700,"here  today, gone  tomorrow"
1701,neither  here  nor  there
1702,out-Herod  Herod
1703,a  red  herring:
1704,a  hidden agenda
1705,hide  your  light  under  a bushel
1706,on  a hiding to nothing
1707,be  for the high  jump
1708,from  on high ©from
1709,high  and dry Q
1710,01996  Frank  McCourt
1711,high  and low
1712,high  and  mighty
1713,high  as a  kite
1714,1998  Pamela  Jooste
1715,high  old
1716,1955  Jean  Potts
1717,"high,  wide, and handsome"
1718,hit  the high spots
1719,in  high  feather:
1720,on  a high
1721,on  your  high  horse
1722,run  high:
1723,take  a  hike
1724,1998  Danvers
1725,a  hill  of  beans:
1726,ancient  old as the  hills
1727,over  the  hill
1728,up  hill  and down  dale:
1729,up to the  hilt
1730,on  your  hind  legs:
1731,drop  a  hint:
1732,in  someone's hip pocket
1733,hire  and  fire
1734,be  history  Qbe
1735,the  rest  is  history
1736,hit  and  miss
1737,hit-and-run  Qof
1738,hit  someone below the belt
1739,hit  the  ground  running
1740,hit  the  hay:
1741,hit  it off with
1742,hit  the  mark
1743,hit  the  nail  on the head
1744, or  miss
1745, the  right  note:
1746, the  road
1747, where  you  live
1748,hitch  horses  together
1749,hitch  your  wagon to a  star
1750,play  raise  hob
1751,live  high on
1752, in  armour
1753,hold  the  clock  on
1754,hold  court
1755,hold  the field:
1756,hold  the  fort
1757,hold  someone's hand
1758,hold  hard
1759,hold  the  line  Q
1760,1980  Hazzard
1761,hold  your  horses
1762,hold  your  thumbs
1763,hold  water
1764, holds  barred
1765, left holding the  baby
1766,there  is no holding someone
1767,blow  a hole in
1768,hole  in the  wall  Qa
1769,need  something  like  a hole in the head
1770,holier  than  thou
1771,beat  someone hollow
1772, the hollow of  your  hand
1773,holy  of holies
1774,bring  something home to someone
1775,close  near  to home
1776,come  home to someone
1777, strike  home Q
1778,home  and dry
1779,home  and hosed
1780,home  free
1781,a  home  from  home
1782,who's  — when —'s at home
1783,an  honest  broker
1784,make  an honest woman of
1785,honours  are even
1786,on the hoof  Q
1787,©  1997
1788,by  hook or by  crook
1789,get  or  give  someone the  hook
1790,off  the hook  O
1791,play  hookey
1792,hop  the twig
1793, stick  Q
1794,hope  chest
1795,hope  against hope
1796,hope  springs  eternal
1797,on the  horizon
1798,make  a  Horlicks  of
1799,blow  toot  your  own  horn
1800,draw  pull  in  your  horns
1801,1991  Paul  Grescoe
1802,on  the  horn  on
1803,on  the  horns  of a  dilemma
1804,a  hornets'  nest a  situation
1805,frighten  the  horses
1806,1975  Sam  Selvon
1807,nothing  will  make  someone go to
1808,a  hostage  to  fortune  an
1809,because  it  invites
1810,1973  Anthony  Price
1811,have  the hots for be
1812,1996  Janette  Turner  Hospital
1813, and  heavy
1814, to  trot
1815, under  the  collar
1816, hot  water
1817,sell  like  hot  cakes:
1818,keep  late
1819, regular  hours
1820, small  hours:
1821,till  all  hours
1822, on  along  like  a house on  fire
1823,go  round
1824,house  and home
1825, house of  cards
1826, set  get  your  house in  order
1827,safe  as houses
1828,not  give  something  houseroom
1829,according  to Hoyle
1830,huff  and  puff
1831,break  the ice
1832,skating  on thin ice
1833, tip  an
1834, the  iceberg
1835, icing  on the  cake
1836, give  someone ideas
1837, under  the illusion  that
1838, under  no illusion
1839, graven  image:
1840,improve  the  shining  hour
1841, Hugh  Scott
1842,have  in for someone
1843,in  with
1844,the  ins and outs
1845,give  someone  an  inch
1846,within  an  inch  of  your  life
1847,incline  your  ear
1848,Indian  summer  Qa
1849,under  the influence
1850,honest  Injun
1851,do  yourself  an  injury
1852,have  had  a good  innings
1853,in  all innocence
1854,on  the inside
1855,turn  something inside out
1856,add  insult  to  injury
1857,to all intents and  purposes
1858,declare  an
1859, your  interest
1860,run  interference
1861,have  many
1862, other  irons  in the  fire
1863,an  iron  curtain
1864,iron  out the  wrinkles
1865,new  off the  irons
1866,an  itching  palm
1867,get  have  itchy  feet
1868,be  an item
1869,tickle  tinkle  the  ivories
1870,before  you can say  Jack  Robinson
1871,have  on it
1872,plain  Jane
1873,I'm  all  right.  Jack
1874,and  all that  jazz
1875,on  your  Jack
1876,hit  the  jackpot
1877,Jekyll  and Hyde
1878,put  a  jerk  in it
1879,1939  C.  Day
1880,in  jig time
1881,the  jig is up
1882,a  Job's  comforter
1883,jobs  for the boys
1884,just  the job
1885,make  the best of a bad  job:
1886,more  than  your  job's  worth
1887,join  the  club:
1888,out  of  joint  O
1889,©1601  William  Shakespeare
1890,get  be beyond a  joke
1891,the  joke  is on someone
1892,the  joker  in the  pack
1893,keep  up  with  the  Joneses
1894,wish  someone joy
1895, Judas  kiss
1896,against  your  better  judgement
1897,go for the  jugular
1898, have the  jump  on
1899,go and  jump  in the  lake
1900,jump  down someone's  throat
1901,jump  the queue
1902,jump  the  rails
1903,jump  the  shark
1904,jump  ship  0of
1905,jump  through  hoops
1906,jump  to it
1907,1974  Babson
1908,on  the  jump  Q
1909,©  1972  Judson  Philips
1910,one  jump  ahead
1911,be  jumping  up and down
1912,the  law  of the  jungle
1913,1989  Bessie  Head
1914,the  jury  is out
1915,do someone or something  justice
1916,justice  to someone or  something
1917,do  yourself  justice
1918,poetic  justice:
1919,rough  justice:
1920,have  kangaroos  in the
1921,keen  as  mustard
1922,keep  the  ball  rolling:
1923,keep  open house
1924,keep  something  under  wraps:
1925,keep  up with the  Joneses:
1926,keep  your  eye on the  ball:
1927,keep  your  feet
1928,keep  someone on  their  toes:
1929, pot  calling  the kettle  black:
1930, pretty  fine kettle of fish
1931,kick  against  the  pricks
1932,kick  someone's ass
1933,kick  some ass
1934, kick  at the can
1935,kick  someone down the  ladder
1936,kick  the gong  around
1937,kick  the  habit
1938, kick  in the  pants
1939, up the  arse
1940, kick  in the teeth
1941,kick  over  the  traces
1942,kick  someone  upstairs
1943,kick  someone when they  down
1944,kick  something into touch
1945,kick  up a fuss
1946,kick  your  heels:
1947, cool  your
1948,kick  yourself
1949,more  kicks  than  halfpence
1950,with  kid gloves
1951,kids'  stuff
1952, in at the  kill
1953,go  move in
1954, close in for the  kill
1955, it  kills  you
1956,kill  or  cure
1957,kill  yourself  laughing
1958,make  a  killing
1959, of  kilter
1960,King  Charles's  head
1961,king  of beasts
1962,king  of  birds
1963,king  of  kings  Qa
1964,king  of  terrors
1965,King  or  Kaiser
1966, king's  ransom
1967,take  the  King's  shilling:
1968,come  into
1969, to  your  kingdom
1970,till  until  kingdom come
1971,to  kingdom  come
1972,have  kissed the  blarney  stone:
1973, Judas  kiss:
1974,kiss  and  make  up
1975,kiss  and tell
1976,kiss  someone's  arse
1977,kiss  ass
1978,kiss  my  arse
1979,kiss  of death
1980,kiss  of life Q
1981,kiss  the dust
1982,kiss  the  ground
1983,kiss  the rod
1984,play  kissy-face
1985, your  off
1986,have  kittens
1987,scoop  the  kitty
1988, your  knees  O
1989,ring  the  knell  of
1990,twist  turn  the  knife
1991, a knife-edge  razor's  edge
1992, knight  in  shining  armour
1993,knight  of the  road
1994,knock  someone dead
1995, Julia  Philips
1996,knock  it off
1997,knock  on
1998,knock  someone  sideways
1999, Penelope  Lively
2000,bang  your  head  against  a  brick  wall
2001,take  a  knock
2002,up  to the  knocker
2003,cut  the  knot:
2004,tie  the knot
2005,tie  someone up in knots
2006,be  in the know
2007,before  you know  where  you are
2008,you  know it
2009,know  a thing or two
2010,know  better  than
2011,know  not know  from  nothing
2012,know  little
2013,know  the  ropes
2014,know  the  score
2015,know  too  much
2016,know  what's  what
2017,know  what  you  like
2018,know  where  you are
2019, stand  with
2020,know  who's who
2021,know  your  own mind
2022,not  know someone  from  Adam:
2023,not  know  what  hit you
2024,not  know  what  to do with  yourself
2025,not  know  where
2026, which  way  to look
2027,for all  someone  knows
2028,it  the fat
2029,live  off the  land
2030, the  country
2031,speak  the same  language
2032, the lap of  luxury
2033, the  of  gods
2034,give  have it  large
2035, with the  lark
2036,have  a  lash  at
2037, the  last  word
2038,have  the  last  word  Q
2039,drinking  in the  last  chance  saloon
2040,last  but not least
2041, last  of the  Mohicans
2042,take  the law into  your  own hands
2043,take  someone to law
2044,there's  no law  against  it
2045, rubber:  burn  rubber
2046, eyes on:  clap
2047, a  charge
2048, someone low  Qof
2049, something  to  rest
2050, something  up in  lavender
2051, store  set  store  by
2052,lead  from  the  front
2053,lead  in  your  pencil
2054,lead  with  your  chin
2055,shake  tremble  like  a  leaf
2056,take  a  leaf  out of someone's book
2057,turn  over  a new  leaf
2058,spring  a  leak
2059,lean  over  backwards:
2060, leap in the  dark
2061,leap  to the eye
2062, new lease of  on life
2063,"least  said,  soonest mended"
2064,to say the least  the least of it
2065,leave  someone  cold
2066,like  a leech
2067,make  up the leeway
2068,have  two left feet
2069,"left,  right,  and  centre"
2070, left and  right
2071,right  and left
2072,feel  find  your  legs
2073, your  leg  over
2074,have  the legs of
2075,keep  your  legs:
2076, keep  your  feet
2077, have  a leg to stand on
2078, your  hind legs
2079,a  in  own
2080,a  his
2081,do  your  level best
2082, level  playing  field
2083,take  liberties  Q
2084,take  the  liberty
2085,licence  to  print  money
2086, a  lick
2087, lick  and a  promise
2088,lick  someone's boots
2089,lick  your  lips
2090,lick  your  wounds
2091,blow  the lid off
2092,flip  your
2093,keep  a
2094, Chris  Dolan
2095,give  the lie to  something
2096, tell a lie  that's  a lie
2097, something  lie
2098, like  a  trooper
2099, through  your  teeth
2100, your  throat
2101,live  a lie
2102, the  land  lies:
2103,do  anything  for a quiet life
2104, facts  of  life:
2105, dear  your  life
2106,frighten  the life out
2107,large  as life
2108,larger  than life ©of
2109,life  and limb
2110, life and soul of the  party
2111,life  in the fast lane
2112, matter  of life and death
2113, on  your  life
2114,take  your  life in  your  hands
2115,this  is the life
2116,to save  your  life
2117,within  an inch of  your  life:
2118,throw  a lifeline to
2119,lift  stir  a  finger
2120, light on  your  feet
2121,light  at the end of the  tunnel
2122,light  a  fire  under someone:
2123,light  the
2124, a  fuse
2125, light of  your  life
2126,make  light
2127, little  of
2128,make  light  work  of
2129,punch  someone's lights out
2130,lightning  never  strikes  twice
2131,like  it or not
2132,"like  —, like —"
2133,the  likes of
2134,1989  Shaar  Murray
2135,a  likely  story
2136,out  on a limb  Q
2137,tear  someone limb  from  limb
2138,be  the  limit
2139,the  bottom line
2140,come  down to the line
2141,end  of the line
2142,lay  put it on the line
2143,draw  a line in the sand
2144, line  least
2145,line  your  pocket
2146,out  of line
2147,toe the  line:
2148,a  lion in the way
2149, lion's  share
2150,throw  someone to the lions
2151,bite  your  lip
2152,curl  your  lip
2153,hang  on someone's  lips
2154,lick  smack  your  lips
2155,pass  someone's  lips
2156, lip  service  to something
2157,someone's  lips  sealed
2158,enter  the  lists
2159,make  little of:
2160,quite  the little
2161,live  and  breathe  something
2162,live  and  learn
2163,live  and let live
2164,live  in the past
2165,live  it up
2166,live  a
2167,live  over  the shop
2168,live  your  own  life
2169,live  rough
2170,live  to fight  another  day
2171,live  to tell the tale
2172,where  you live
2173,look  lively:
2174,lively  as a  grig:
2175, merry  as a  grig
2176, the  living  proof  that
2177, living  image  of
2178, Quentin  Tarantino
2179,take  a load off someone's  mind
2180,loaves  and  fishes
2181,have  a  lock  on
2182, Paul  Erdman
2183,lock  horns
2184,"lock,  stock,  and  barrel"
2185,under  lock  and key
2186,loiter  with  intent
2187, Lombard  Street  to a China  orange
2188, London  particular
2189, on  your  lonesome
2190, a long  chalk:
2191, the long  or  term
2192, long and the  short  of it
2193,long  in the tooth
2194,long  time no see
2195, be long for  this  world
2196, Frank  McCourt
2197, by a long  chalk:
2198,over  the long  haul
2199,draw  the longbow
2200,look  before you leap
2201,look  daggers:
2202,look  down  your  nose at
2203,look  lively
2204,look  someone in the eye
2205,look  someone up and down
2206,look  the other way
2207,look  sharp
2208,be  lost  in the shuffle:
2209,a  lost  soul:
2210,there's  no
2211,lower  the boom on
2212,lower  the tone
2213,lower  your  sights:
2214, raise  your  sights
2215,the  lowest of the low
2216,1995  Nicholas  Whittaker
2217,as  luck  would  have  it
2218,1994  Beryl  Gilroy
2219,the  luck  of the  draw
2220,make  your  own  luck
2221,ride  your  luck
2222,try  your  luck  at  something
2223,1964  Mary  Stewart
2224,your  luck  is in
2225,a  lump  in the  throat
2226,take  or get  your  lumps
2227, Bernard  Malamud
2228,ladies  who  lunch:
2229,out  to  lunch:
2230,there's  no such thing as a  free  lunch
2231,leave  someone in the  lurch
2232,1987  Eileen  Dunlop
2233,take  something  lying  down
2234,1989  Shimmer  Chinodya
2235,mad as a cut snake  or
2236,join  the great  majority:
2237,make  beeline
2238,make like pretend to  imitate.
2239, John  Steinbeck
2240, Anne  River  Siddons
2241, Past  blood alcohol
2242,man  man
2243,men  in grey  suits
2244,men  in white coats
2245,twelve  good men and  true:
2246,put  someone  through  the  mangle:
2247,someone  through  the  wringer
2248,in  a  manner  speaking
2249,to the  manner  born
2250,son  daughter  of the  manse
2251,be  too
2252, one too  many  for
2253,have  one too  many
2254,many's  the
2255,all  over  the  map
2256, all  over  the  place
2257,off  the map
2258,put  something  on the  map
2259,wipe  something  the map
2260,lose  your  marbles
2261,mad  as  March  hare:
2262, mad as  hatter
2263,march  the beat of  different tune
2264,drum  drummer
2265,a  mare's  nest
2266,tell  that  to the  marines
2267,be  quick
2268, slow off the  mark
2269,make  your  mark
2270,mark  someone's  card
2271,the  mark  of Cain
2272,mark  time  Q
2273,near  close to the  mark
2274,off  wide of the  mark  Q
2275,on  the  mark
2276,on  your  marks
2277,up  to the  mark
2278,marriage  of  convenience
2279,to the  marrow
2280,marry  money
2281,meet  your  match
2282,the  whole shooting  match:
2283,waltz  walk  Matilda
2284,a  matter  of  form
2285,the  Matthew  principle
2286,the  real  McCoy
2287,make  a meal of
2288,mean  business
2289,mean  to say
2290,a  means to an end
2291,no  mean
2292,for  good  measure
2293,get  take
2294, have the  measure  of
2295,measure  your  length
2296,be  meat and  drink  to
2297,meat  and potatoes
2298,1994  McNamee
2299,meet  the case
2300,meet  your  eye
2301,meet  someone's eye
2302, eyes  gaze
2303,meet  someone  halfway
2304,meet  your  maker:
2305,meet  your  match:
2306,meet  your  Waterloo:
2307,meets  the eye
2308,a  meeting of minds
2309,the  whole megillah
2310,do a  Melba
2311,melt  in the mouth
2312,mend  your fences
2313,be  in
2314, the  ram
2315,all  done with  mirrors
2316,make  mischief
2317,put  someone out of  their  misery
2318,put  something  out of its  misery
2319,give  something a  miss
2320,miss  the  cut:
2321, make  the cut
2322,miss  a beat
2323,miss  the boat
2324,1987  Kathy  Lette
2325,not  miss  much
2326,not  miss  a  trick
2327,and  no  mistake
2328,1993  Sam  McAughtry
2329,get  your  mitts  on
2330,mix  and  match
2331,a  mixed blessing
2332,the  mixture  as before
2333,downwardly  upwardly  mobile
2334,put  the  mockers  on  ©put
2335,01966  Lionel  Davidson
2336, ©  1970  Joyce  Porter
2337,make  a  mockery  of  something
2338, jam  old  Q
2339,put  put  Q
2340, a  on a
2341,the  full  monty
2342,bark  at  the moon
2343,cry  ask  for the moon
2344,over  the moon
2345,do a  moonlight  flit
2346,"morning,  noon, and night"
2347,Morton's  fork
2348,a  mote in someone's eye
2349,like  a  moth to the  flame
2350,in  mothballs
2351,make  a move
2352,make  a move on
2353, the  moves  on
2354,move  the  goalposts:
2355,move  heaven and  earth:
2356,move  mountains:
2357,move  with the  times
2358, spirit  moves someone:
2359, mover  shaker
2360, much the better  worse
2361,much  of a  muchness
2362, common as  muck
2363,make  a  muck  of
2364,where  there's  muck  there's  brass
2365,drag  someone  through  the
2366, the  dirt
2367,fling  sling
2368, throw  mud
2369,someone's  name is mud
2370,muddy  the  waters
2371,1995  lain  Banks
2372,1988  Salman  Rushdie
2373,hard  as  nails:
2374, the  nail  on the  head:
2375,9  your  name
2376,nail  your  colours  to the  mast:
2377, nail  in the  coffin
2378,have  your  name  in  hqhts  Q
2379,in all but  name
2380,nail  a lie
2381, the  nail
2382,name  and  shame
2383,name  names
2384,right  on the  nail
2385,fia  Ken
2386, naked  truth
2387,put  a  name  to
2388,someone's  name is  mud:
2389,something  has  your  name on it
2390,take  someone's name in  vain:
2391,what's  in  a  name?
2392,you  name  it
2393,do  lose  your  nana
2394,off  your  nana
2395,not  go nap on
2396,catch  someone  napping
2397,a  nasty  taste  in the  mouth:
2398,a  nasty  piece
2399, bit of  work
2400,something  nasty  in the woodshed:
2401,one  nation
2402,go  native
2403,call  of  nature
2404,get  go  back  to  nature
2405,in  the  nature  of  things
2406,in  a state of  nature  ©in
2407,the  nature  of the beast
2408,your  better  nature
2409,contemplate  your  navel
2410,so  near  and yet so
2411,your  nearest and dearest
2412, necessary  evil
2413,break  your  neck to do something
2414,get  catch  in the neck
2415,have  the brass neck to do something
2416,neck  neck
2417,neck  or nothing
2418, same neck  the woods
2419,stick  your  neck out:
2420, your  neck in
2421, by  neck
2422, needle in  haystack
2423,needs  must
2424, on  your  nelly
2425,have  nerves  steel
2426,live  on  your  nerves  or  your  nerve  ends
2427,strain  every  nerve
2428, war  nerves:
2429, shirt  of Nessus
2430,slip  fall  through  the net
2431,never-never  land
2432," new one on  him, etc."
2433, New  York  minute
2434,next  in line
2435, boy  girl  next door
2436,make  nice
2437,nice  one
2438,nice  work  if you can get it
2439,in  nick
2440,in  the  nick  of time
2441,nick  someone for
2442,accept  a wooden  nickel
2443,night  and day
2444,night  of the long  knives
2445,dressed  up to the nines
2446,a  nine  days'  wonder:
2447,nine  to five
2448,nine  times out of ten
2449,on  cloud  nine:
2450,1994  Beryl
2451,in  the nip
2452,nip  something in the bud
2453,put  in the  nips
2454,keep  nit
2455,pick  nits
2456,no  man's  land
2457,the  noes  have  it
2458,no  two  ways  about it
2459,not  never  take  no for an  answer
2460,no  worries
2461,1995  Kazuo  Ishiguro
2462,noblesse  oblige
2463,the  nod ©be
